# Метеостанция Виллакубле (аэропорт), Франция, METAR=LFPV, выборка с 18.01.2024 по 18.02.2024, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=LFPV&lang=ru
#
"Местное время в Виллакубле (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"09.02.2024 23:00";"9.0";"723.2";"738.9";"87";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Незначительная (10-30%) 1200 м, разорванная (60-90%) 1680 м, сплошная (100%) 1980 м";"10.0 и более";"7.0";
"09.02.2024 22:30";"9.0";"723.2";"738.9";"94";"Ветер, дующий с юга";"4";"";"";"";"Рассеянная (40-50%) 1380 м, разорванная (60-90%) 1680 м";"10.0 и более";"8.0";
"09.02.2024 22:00";"9.0";"723.2";"738.9";"87";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 1230 м, рассеянная (40-50%) 1920 м, разорванная (60-90%) 5400 м";"10.0 и более";"7.0";
"09.02.2024 21:30";"9.0";"723.2";"738.9";"94";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"09.02.2024 21:00";"9.0";"723.2";"738.9";"94";"Ветер, дующий с юга";"5";"";"";"";"Незначительная (10-30%) 300 м, рассеянная (40-50%) 1680 м, разорванная (60-90%) 4500 м";"10.0 и более";"8.0";
"09.02.2024 20:30";"10.0";"723.3";"738.9";"88";"Ветер, дующий с юга";"4";"";"";"";"Рассеянная (40-50%) 390 м, рассеянная (40-50%) 1860 м, разорванная (60-90%) 6000 м";"10.0 и более";"8.0";
"09.02.2024 20:00";"10.0";"723.3";"738.9";"88";"Ветер, дующий с юга";"4";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"8.0";
"09.02.2024 19:30";"10.0";"723.3";"738.9";"88";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"8.0";
"09.02.2024 19:00";"11.0";"723.3";"738.9";"82";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"8.0";
"09.02.2024 18:30";"11.0";"722.6";"738.1";"88";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"9.0";
"09.02.2024 18:00";"11.0";"722.6";"738.1";"88";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 420 м, сплошная (100%) 2040 м";"10.0 и более";"9.0";
"09.02.2024 17:30";"11.0";"722.6";"738.1";"88";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) дождь, морось";"";"Сплошная (100%) 420 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"9.0";
"09.02.2024 17:00";"11.0";"722.6";"738.1";"88";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 450 м, разорванная (60-90%) 600 м, сплошная (100%) 900 м";"10.0 и более";"9.0";
"09.02.2024 16:30";"11.0";"723.3";"738.9";"88";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) дождь, морось";"";"Разорванная (60-90%) 510 м, разорванная (60-90%) 1290 м, разорванная (60-90%) 1800 м";"10.0 и более";"9.0";
"09.02.2024 16:00";"12.0";"723.4";"738.9";"82";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 510 м, разорванная (60-90%) 720 м, разорванная (60-90%) 2340 м";"10.0 и более";"9.0";
"09.02.2024 15:30";"12.0";"723.4";"738.9";"82";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 570 м, разорванная (60-90%) 720 м, разорванная (60-90%) 870 м";"10.0 и более";"9.0";
"09.02.2024 15:00";"12.0";"723.4";"738.9";"82";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 600 м, разорванная (60-90%) 750 м, сплошная (100%) 930 м";"10.0 и более";"9.0";
"09.02.2024 14:30";"12.0";"723.4";"738.9";"82";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 660 м, разорванная (60-90%) 870 м, сплошная (100%) 1080 м";"10.0 и более";"9.0";
"09.02.2024 14:00";"12.0";"724.1";"739.6";"82";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 630 м, разорванная (60-90%) 1020 м, разорванная (60-90%) 4800 м";"10.0 и более";"9.0";
"09.02.2024 13:30";"13.0";"724.1";"739.6";"77";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 600 м, разорванная (60-90%) 780 м, разорванная (60-90%) 930 м";"10.0 и более";"9.0";
"09.02.2024 13:00";"12.0";"724.1";"739.6";"82";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 510 м, разорванная (60-90%) 690 м, разорванная (60-90%) 870 м";"10.0 и более";"9.0";
"09.02.2024 12:30";"12.0";"724.9";"740.4";"82";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 570 м, сплошная (100%) 780 м";"10.0 и более";"9.0";
"09.02.2024 12:00";"12.0";"724.9";"740.4";"82";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 510 м, разорванная (60-90%) 720 м, сплошная (100%) 930 м";"10.0 и более";"9.0";
"09.02.2024 11:30";"12.0";"724.9";"740.4";"82";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 480 м, сплошная (100%) 630 м";"10.0 и более";"9.0";
"09.02.2024 11:00";"11.0";"724.8";"740.4";"88";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 450 м, разорванная (60-90%) 930 м";"10.0 и более";"9.0";
"09.02.2024 10:30";"11.0";"724.8";"740.4";"82";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 480 м, разорванная (60-90%) 660 м";"10.0 и более";"8.0";
"09.02.2024 10:00";"11.0";"724.8";"740.4";"82";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 480 м, сплошная (100%) 630 м";"10.0 и более";"8.0";
"09.02.2024 09:30";"11.0";"724.0";"739.6";"88";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"9.0";
"09.02.2024 09:00";"10.0";"724.0";"739.6";"94";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Разорванная (60-90%) 390 м, сплошная (100%) 600 м";"10.0 и более";"9.0";
"09.02.2024 08:30";"11.0";"724.0";"739.6";"82";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"8.0";
"09.02.2024 08:00";"11.0";"724.0";"739.6";"82";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 510 м, сплошная (100%) 750 м";"10.0 и более";"8.0";
"09.02.2024 07:30";"11.0";"724.0";"739.6";"82";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Разорванная (60-90%) 570 м, сплошная (100%) 810 м";"10.0 и более";"8.0";
"09.02.2024 07:00";"11.0";"723.3";"738.9";"82";"Ветер, дующий с юго-юго-запада";"7";"12";"";"";"Разорванная (60-90%) 570 м, разорванная (60-90%) 780 м, сплошная (100%) 930 м";"10.0 и более";"8.0";
"09.02.2024 06:30";"11.0";"723.3";"738.9";"82";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 600 м, разорванная (60-90%) 1020 м, разорванная (60-90%) 1350 м";"10.0 и более";"8.0";
"09.02.2024 06:00";"10.0";"723.3";"738.9";"82";"Ветер, дующий с юго-юго-запада";"7";"12";"";"";"Разорванная (60-90%) 630 м, разорванная (60-90%) 1800 м, разорванная (60-90%) 4500 м";"10.0 и более";"7.0";
"09.02.2024 05:30";"11.0";"723.3";"738.9";"77";"Ветер, дующий с юго-юго-запада";"8";"16";"";"";"Рассеянная (40-50%) 690 м, рассеянная (40-50%) 1200 м, разорванная (60-90%) 3600 м";"10.0 и более";"7.0";
"09.02.2024 05:00";"10.0";"723.3";"738.9";"82";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Незначительная (10-30%) 750 м";"10.0 и более";"7.0";
"09.02.2024 04:30";"10.0";"723.3";"738.9";"88";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Незначительная (10-30%) 1110 м, разорванная (60-90%) 3000 м";"10.0 и более";"8.0";
"09.02.2024 04:00";"10.0";"724.0";"739.6";"82";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Незначительная (10-30%) 780 м, рассеянная (40-50%) 3900 м";"10.0 и более";"7.0";
"09.02.2024 03:30";"10.0";"724.0";"739.6";"82";"Ветер, дующий с юга";"7";"";"";"";"Незначительная (10-30%) 870 м, разорванная (60-90%) 1080 м, разорванная (60-90%) 1290 м";"10.0 и более";"7.0";
"09.02.2024 03:00";"10.0";"724.8";"740.4";"88";"Ветер, дующий с юго-юго-запада";"6";"11";"";"";"Незначительная (10-30%) 570 м, разорванная (60-90%) 1260 м";"10.0 и более";"8.0";
"09.02.2024 02:30";"10.0";"724.8";"740.4";"88";"Ветер, дующий с юга";"7";"";"";"";"Незначительная (10-30%) 570 м, рассеянная (40-50%) 930 м";"10.0 и более";"8.0";
"09.02.2024 02:00";"10.0";"724.8";"740.4";"88";"Ветер, дующий с юга";"8";"";"";"";"Незначительная (10-30%) 510 м, разорванная (60-90%) 930 м, сплошная (100%) 6900 м";"10.0 и более";"8.0";
"09.02.2024 01:30";"10.0";"724.8";"740.4";"88";"Ветер, дующий с юга";"7";"13";"";"";"Рассеянная (40-50%) 450 м, рассеянная (40-50%) 600 м, разорванная (60-90%) 960 м";"10.0 и более";"8.0";
"09.02.2024 01:00";"10.0";"724.8";"740.4";"88";"Ветер, дующий с юга";"8";"";"";"";"Разорванная (60-90%) 360 м, разорванная (60-90%) 540 м, разорванная (60-90%) 2520 м";"10.0 и более";"8.0";
"09.02.2024 00:30";"10.0";"725.5";"741.2";"88";"Ветер, дующий с юга";"8";"";"";"";"Разорванная (60-90%) 300 м, разорванная (60-90%) 450 м, разорванная (60-90%) 1740 м";"10.0 и более";"8.0";
"09.02.2024 00:00";"10.0";"725.5";"741.2";"88";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) морось";"";"Разорванная (60-90%) 330 м, разорванная (60-90%) 600 м, разорванная (60-90%) 1380 м";"10.0 и более";"8.0";
"08.02.2024 23:30";"10.0";"726.2";"741.9";"88";"Ветер, дующий с юга";"8";"13";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 360 м, разорванная (60-90%) 540 м, сплошная (100%) 690 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"8.0";
"08.02.2024 23:00";"10.0";"726.2";"741.9";"88";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 420 м, разорванная (60-90%) 600 м, сплошная (100%) 750 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"8.0";
"08.02.2024 22:30";"10.0";"726.7";"742.4";"88";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 510 м, разорванная (60-90%) 690 м, разорванная (60-90%) 930 м";"8.0";"8.0";
"08.02.2024 22:00";"10.0";"726.7";"742.4";"88";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Рассеянная (40-50%) 720 м, рассеянная (40-50%) 1500 м, разорванная (60-90%) 1980 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"8.0";
"08.02.2024 21:30";"11.0";"726.8";"742.4";"82";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Незначительная (10-30%) 660 м, разорванная (60-90%) 930 м, сплошная (100%) 2580 м";"10.0 и более";"8.0";
"08.02.2024 21:00";"11.0";"727.6";"743.2";"82";"Ветер, дующий с юго-юго-запада";"8";"13";"";"";"Незначительная (10-30%) 720 м, разорванная (60-90%) 1110 м, разорванная (60-90%) 1470 м";"10.0 и более";"8.0";
"08.02.2024 20:30";"11.0";"727.6";"743.2";"88";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"08.02.2024 20:00";"11.0";"727.6";"743.2";"88";"Ветер, дующий с юга";"6";"";"";"";"Незначительная (10-30%) 990 м, рассеянная (40-50%) 1320 м, разорванная (60-90%) 1680 м";"10.0 и более";"9.0";
"08.02.2024 19:30";"11.0";"728.3";"744.0";"94";"Ветер, дующий с юга";"5";"";"";"";"Рассеянная (40-50%) 930 м, рассеянная (40-50%) 1110 м, разорванная (60-90%) 1410 м";"10.0 и более";"10.0";
"08.02.2024 19:00";"11.0";"728.3";"744.0";"94";"Ветер, дующий с юга";"5";"";"";"";"Незначительная (10-30%) 120 м, рассеянная (40-50%) 240 м, разорванная (60-90%) 360 м";"10.0 и более";"10.0";
"08.02.2024 18:30";"11.0";"728.3";"744.0";"94";"Ветер, дующий с юга";"4";"";"";"";"Разорванная (60-90%) 240 м, разорванная (60-90%) 780 м, разорванная (60-90%) 1260 м";"10.0 и более";"10.0";
"08.02.2024 18:00";"11.0";"729.0";"744.7";"94";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 330 м, рассеянная (40-50%) 720 м, разорванная (60-90%) 930 м";"10.0 и более";"10.0";
"08.02.2024 17:30";"11.0";"729.8";"745.5";"94";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Рассеянная (40-50%) 330 м, рассеянная (40-50%) 480 м, разорванная (60-90%) 750 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"10.0";
"08.02.2024 17:00";"11.0";"730.6";"746.3";"94";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 270 м, сплошная (100%) 420 м";"10.0 и более";"10.0";
"08.02.2024 16:30";"11.0";"730.6";"746.3";"94";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м, разорванная (60-90%) 420 м, разорванная (60-90%) 660 м";"10.0 и более";"10.0";
"08.02.2024 16:00";"12.0";"730.6";"746.3";"88";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 510 м, рассеянная (40-50%) 1920 м, разорванная (60-90%) 2220 м";"10.0 и более";"10.0";
"08.02.2024 15:30";"12.0";"731.3";"747.0";"88";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 570 м, сплошная (100%) 1800 м";"10.0 и более";"10.0";
"08.02.2024 15:00";"12.0";"732.1";"747.8";"88";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Рассеянная (40-50%) 450 м, рассеянная (40-50%) 900 м, сплошная (100%) 1680 м";"10.0 и более";"10.0";
"08.02.2024 14:30";"12.0";"732.1";"747.8";"88";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) дождь, морось";"";"Разорванная (60-90%) 450 м, разорванная (60-90%) 990 м, разорванная (60-90%) 1410 м";"10.0 и более";"10.0";
"08.02.2024 14:00";"13.0";"732.2";"747.8";"82";"Ветер, дующий с юго-запада";"7";"13";"";"";"Разорванная (60-90%) 630 м, разорванная (60-90%) 840 м, разорванная (60-90%) 1260 м";"10.0 и более";"10.0";
"08.02.2024 13:30";"13.0";"732.9";"748.5";"82";"Ветер, дующий с юго-запада";"7";"";"";"";"Разорванная (60-90%) 540 м, разорванная (60-90%) 720 м, разорванная (60-90%) 960 м";"10.0 и более";"10.0";
"08.02.2024 13:00";"12.0";"732.8";"748.5";"88";"Ветер, дующий с юго-юго-запада";"6";"12";"";"";"Рассеянная (40-50%) 510 м, разорванная (60-90%) 690 м, разорванная (60-90%) 1020 м";"10.0 и более";"10.0";
"08.02.2024 12:30";"12.0";"732.8";"748.5";"88";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Незначительная (10-30%) 480 м, сплошная (100%) 1410 м";"10.0 и более";"10.0";
"08.02.2024 12:00";"12.0";"733.6";"749.3";"88";"Ветер, дующий с юго-юго-запада";"8";"13";"";"";"Разорванная (60-90%) 420 м, разорванная (60-90%) 570 м, разорванная (60-90%) 720 м";"10.0 и более";"10.0";
"08.02.2024 11:30";"12.0";"733.6";"749.3";"88";"Ветер, дующий с юго-запада";"7";"";"";"";"Разорванная (60-90%) 390 м, разорванная (60-90%) 570 м, сплошная (100%) 1470 м";"10.0 и более";"10.0";
"08.02.2024 11:00";"12.0";"734.4";"750.1";"88";"Ветер, дующий с юго-запада";"8";"13";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 360 м, сплошная (100%) 510 м";"10.0 и более";"10.0";
"08.02.2024 10:30";"12.0";"734.4";"750.1";"88";"Ветер, дующий с юго-юго-запада";"6";"";"Дождь, дымка";"";"Разорванная (60-90%) 330 м, сплошная (100%) 480 м, кучевые мощные большой вертикальной протяженности";"4.8";"10.0";
"08.02.2024 10:00";"12.0";"734.4";"750.1";"88";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 360 м";"10.0 и более";"10.0";
"08.02.2024 09:30";"12.0";"735.0";"750.8";"88";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 330 м, разорванная (60-90%) 540 м, сплошная (100%) 900 м";"10.0 и более";"10.0";
"08.02.2024 09:00";"12.0";"735.0";"750.8";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 330 м, разорванная (60-90%) 780 м, сплошная (100%) 3000 м";"10.0 и более";"10.0";
"08.02.2024 08:30";"12.0";"735.0";"750.8";"88";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 360 м, разорванная (60-90%) 960 м, разорванная (60-90%) 1560 м";"10.0 и более";"10.0";
"08.02.2024 08:00";"12.0";"735.0";"750.8";"88";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 420 м, разорванная (60-90%) 3600 м, сплошная (100%) 4200 м";"10.0 и более";"10.0";
"08.02.2024 07:30";"12.0";"735.0";"750.8";"88";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Незначительная (10-30%) 150 м, разорванная (60-90%) 360 м, сплошная (100%) 4200 м";"10.0 и более";"10.0";
"08.02.2024 07:00";"12.0";"735.0";"750.8";"94";"Ветер, дующий с западо-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 150 м, сплошная (100%) 270 м";"6.0";"11.0";
"08.02.2024 06:30";"12.0";"735.0";"750.8";"94";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Сплошная (100%) 150 м";"10.0 и более";"11.0";
"08.02.2024 06:00";"12.0";"735.0";"750.8";"94";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 150 м";"9.0";"11.0";
"08.02.2024 05:30";"12.0";"735.0";"750.8";"94";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 120 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"11.0";
"08.02.2024 05:00";"12.0";"735.8";"751.6";"94";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь, дымка";"";"Сплошная (100%) 120 м, кучевые мощные большой вертикальной протяженности";"4.3";"11.0";
"08.02.2024 04:30";"11.0";"735.8";"751.6";"100";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 120 м";"9.0";"11.0";
"08.02.2024 04:00";"11.0";"735.8";"751.6";"100";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь, морось";"";"Сплошная (100%) 120 м";"9.0";"11.0";
"08.02.2024 03:30";"11.0";"736.5";"752.3";"100";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 120 м";"10.0 и более";"11.0";
"08.02.2024 03:00";"12.0";"736.5";"752.3";"94";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 120 м";"10.0 и более";"11.0";
"08.02.2024 02:30";"11.0";"736.5";"752.3";"100";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 120 м";"10.0 и более";"11.0";
"08.02.2024 02:00";"11.0";"737.2";"753.1";"100";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 120 м";"10.0 и более";"11.0";
"08.02.2024 01:30";"11.0";"737.2";"753.1";"100";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 90 м";"10.0 и более";"11.0";
"08.02.2024 01:00";"12.0";"737.3";"753.1";"94";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 90 м, кучевые мощные большой вертикальной протяженности";"7.0";"11.0";
"08.02.2024 00:30";"12.0";"737.3";"753.1";"94";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 90 м, кучевые мощные большой вертикальной протяженности";"5.0";"11.0";
"08.02.2024 00:00";"12.0";"737.3";"753.1";"94";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 90 м";"7.0";"11.0";
"07.02.2024 23:30";"12.0";"737.3";"753.1";"94";"Ветер, дующий с западо-юго-запада";"4";"";"Дымка";"";"Сплошная (100%) 90 м";"5.0";"11.0";
"07.02.2024 23:00";"12.0";"737.3";"753.1";"94";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 90 м";"4.8";"11.0";
"07.02.2024 22:30";"12.0";"737.3";"753.1";"94";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 90 м";"4.5";"11.0";
"07.02.2024 22:00";"12.0";"737.3";"753.1";"94";"Ветер, дующий с западо-юго-запада";"3";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 60 м";"3.3";"11.0";
"07.02.2024 21:30";"12.0";"738.1";"753.9";"94";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 60 м";"3.2";"11.0";
"07.02.2024 21:00";"11.0";"737.2";"753.1";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Дымка";"";"Сплошная (100%) 60 м";"5.0";"11.0";
"07.02.2024 20:30";"11.0";"737.2";"753.1";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) дождь, дымка";"";"Сплошная (100%) 90 м";"4.7";"11.0";
"07.02.2024 20:00";"11.0";"737.2";"753.1";"100";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) дождь, морось, дымка";"";"Сплошная (100%) 90 м";"3.4";"11.0";
"07.02.2024 19:00";"11.0";"737.2";"753.1";"100";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Сплошная (100%) 120 м";"10.0 и более";"11.0";
"07.02.2024 18:30";"11.0";"737.2";"753.1";"94";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Сплошная (100%) 120 м";"10.0 и более";"10.0";
"07.02.2024 18:00";"11.0";"737.2";"753.1";"94";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) дождь, дымка";"";"Сплошная (100%) 120 м";"5.0";"10.0";
"07.02.2024 17:30";"11.0";"737.2";"753.1";"94";"Ветер, дующий с западо-юго-запада";"6";"";"Слабый(ая)(ые) дождь, морось";"";"Сплошная (100%) 150 м, кучевые мощные большой вертикальной протяженности";"9.0";"10.0";
"07.02.2024 17:00";"10.0";"737.2";"753.1";"100";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) морось";"";"Сплошная (100%) 120 м, кучевые мощные большой вертикальной протяженности";"6.0";"10.0";
"07.02.2024 16:30";"10.0";"738.0";"753.9";"100";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) морось";"";"Сплошная (100%) 150 м";"6.0";"10.0";
"07.02.2024 16:00";"10.0";"738.0";"753.9";"100";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 120 м";"4.1";"10.0";
"07.02.2024 15:30";"10.0";"738.0";"753.9";"94";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 150 м";"4.6";"9.0";
"07.02.2024 15:00";"10.0";"738.0";"753.9";"100";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) дождь, дымка";"";"Сплошная (100%) 150 м";"3.9";"10.0";
"07.02.2024 14:30";"10.0";"738.7";"754.6";"100";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) морось, дымка";"";"Сплошная (100%) 180 м";"5.0";"10.0";
"07.02.2024 14:00";"10.0";"738.7";"754.6";"100";"Ветер, дующий с юго-запада";"8";"14";"Слабый(ая)(ые) дождь, дымка";"";"Сплошная (100%) 180 м";"4.7";"10.0";
"07.02.2024 13:30";"10.0";"739.4";"755.4";"100";"Ветер, дующий с юго-запада";"8";"";"Слабый(ая)(ые) дождь, дымка";"";"Сплошная (100%) 210 м";"4.2";"10.0";
"07.02.2024 13:00";"10.0";"739.4";"755.4";"100";"Ветер, дующий с юго-запада";"7";"12";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 240 м";"7.0";"10.0";
"07.02.2024 12:30";"10.0";"740.2";"756.2";"94";"Ветер, дующий с юго-запада";"7";"12";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 270 м";"10.0 и более";"9.0";
"07.02.2024 12:00";"10.0";"740.2";"756.2";"94";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 300 м";"10.0 и более";"9.0";
"07.02.2024 11:30";"10.0";"740.2";"756.2";"94";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 270 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"9.0";
"07.02.2024 11:00";"10.0";"740.9";"756.9";"94";"Ветер, дующий с юго-запада";"7";"12";"Дождь";"";"Сплошная (100%) 270 м, кучевые мощные большой вертикальной протяженности";"6.0";"9.0";
"07.02.2024 10:30";"10.0";"740.9";"756.9";"94";"Ветер, дующий с юго-запада";"7";"12";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 300 м, кучевые мощные большой вертикальной протяженности";"9.0";"9.0";
"07.02.2024 10:00";"10.0";"740.9";"756.9";"94";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) морось";"";"Сплошная (100%) 330 м";"10.0 и более";"9.0";
"07.02.2024 09:30";"10.0";"740.9";"756.9";"94";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 330 м, сплошная (100%) 1980 м";"10.0 и более";"9.0";
"07.02.2024 09:00";"10.0";"740.9";"756.9";"94";"Ветер, дующий с юго-запада";"7";"14";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 360 м, разорванная (60-90%) 990 м, разорванная (60-90%) 1680 м";"10.0 и более";"9.0";
"07.02.2024 08:30";"10.0";"740.9";"756.9";"94";"Ветер, дующий с юго-запада";"7";"";"Слабый(ая)(ые) дождь, морось";"";"Разорванная (60-90%) 270 м, разорванная (60-90%) 420 м, сплошная (100%) 1860 м";"10.0 и более";"9.0";
